Id,Area,Bedrooms,Bathrooms,Floors,YearBuilt,Location,Condition,Garage,Price
76,564,1,nan,3,2014,Suburban,Poor,No,778359
77,3068,nan,2,3,1972,Rural,Excellent,No,813277
78,nan,error_value,3,1,1994,rural,good,Yes,231350
79,3195,5,error_value,2,1977,Urban,Fair,no,961995
80,1995,4,4,2,1948,rural,Fair,yes,838212
81,891,1,nan,2,2000,Suburban,Good,No,534859
82,4974,5,1,2,nan,Suburban,Fair,No,764618
83,4061,2,1,1,2015,downtown,excellent,yes,error_value
84,2778,2,2,1,1947,downtown,Fair,yes,92192
85,3599,1,3,1,2009,Urban,good,No,nan
86,error_value,4,1,3,1913,Suburban,Fair,No,411273
87,3604,5,4,3,1958,Suburban,excellent,No,error_value
88,2954,nan,1,3,nan,suburban,excellent,No,663484
89,4145,nan,1,2,1998,Urban,Good,Yes,576683
90,1304,4,3,3,1957,suburban,Good,no,nan
91,3231,3,3,2,2002,Downtown,Good,no,nan
92,3273,2,3,3,1957,urban,Poor,No,error_value
93,2070,2,2,nan,2010,downtown,Poor,No,458995
94,error_value,nan,2,3,1950,Downtown,Excellent,no,645316
95,4340,1,1,3,nan,urban,Poor,Yes,997226
96,error_value,nan,3,nan,1901,rural,Poor,Yes,450327
97,nan,error_value,1,error_value,2014,Rural,fair,Yes,816751
98,4993,3,nan,3,1940,Downtown,Poor,yes,715344
99,1370,3,4,1,error_value,Rural,Fair,Yes,929608
100,error_value,nan,3,error_value,2022,Suburban,Good,no,777688
101,706,1,3,nan,2000,Urban,Fair,Yes,305315
102,1984,5,4,1,error_value,downtown,Fair,Yes,error_value
103,1363,1,error_value,error_value,1915,Suburban,good,no,495919
104,3290,4,2,3,1903,rural,Good,Yes,344721
105,1063,4,nan,nan,nan,suburban,Excellent,Yes,188783
106,4691,nan,3,3,1928,Rural,Excellent,Yes,nan
107,2257,2,4,3,1906,Downtown,excellent,Yes,error_value
108,2178,2,1,2,error_value,Suburban,Excellent,No,543085
109,3742,4,nan,1,2018,urban,fair,No,545187
110,1559,1,3,2,1911,Downtown,Fair,yes,699381
111,2222,1,1,3,1998,suburban,Excellent,no,285835
112,3814,2,3,2,1904,suburban,poor,Yes,971600
113,3657,5,1,2,nan,rural,excellent,No,902987
114,nan,1,4,3,2021,Downtown,poor,No,nan
115,3229,4,2,1,2005,Downtown,Good,No,256084
116,2097,3,4,2,1931,Downtown,Fair,No,844686
117,3560,3,2,3,1973,Downtown,Fair,No,437554
118,3193,3,1,3,1942,Rural,Poor,No,803315
119,4127,5,nan,2,1980,Urban,Excellent,No,error_value
120,1863,2,4,1,1968,Downtown,Fair,No,973469
121,2481,4,2,2,1944,rural,poor,No,258072
122,2163,5,1,1,2005,urban,good,no,298029
123,nan,4,2,nan,1908,urban,Good,No,259047
124,2538,4,3,1,1948,Rural,Fair,Yes,415169
125,3802,2,4,1,nan,downtown,Excellent,no,180509
126,2737,nan,3,2,1999,Urban,Poor,Yes,812072
127,nan,2,1,3,1999,Downtown,Fair,no,345107
128,4529,5,2,3,1917,Downtown,good,yes,577561
129,3175,nan,3,3,1908,Suburban,Excellent,Yes,589618
130,1782,5,3,3,1961,Downtown,Poor,yes,202566
131,nan,nan,2,3,1956,suburban,Fair,No,650710
132,4913,error_value,2,3,1928,Urban,poor,No,nan
133,4248,4,4,nan,2013,Rural,Excellent,no,53212
134,nan,1,3,1,nan,Suburban,excellent,No,282131
135,nan,5,3,3,1924,Rural,good,Yes,nan
136,nan,4,1,nan,1914,Urban,excellent,No,661882
137,4243,1,4,3,1905,Downtown,Fair,no,182152
138,1995,4,1,nan,2019,Urban,Poor,no,344819
139,3804,5,3,1,1941,rural,excellent,no,72007
140,4263,3,1,1,1928,Urban,excellent,No,688093
141,2353,error_value,3,error_value,1978,Downtown,fair,no,394785
142,1791,2,3,3,1992,urban,poor,no,670103
143,4081,4,1,error_value,1903,downtown,Poor,No,883247
144,3957,4,1,error_value,1981,Suburban,good,Yes,919914
145,nan,error_value,nan,1,2013,Rural,Good,yes,837071
146,nan,2,2,nan,1956,Downtown,Poor,No,375737
147,3499,3,2,3,1948,Downtown,Fair,no,562164
148,3652,4,3,error_value,1943,urban,Fair,No,128038
149,1198,4,1,3,2002,Suburban,Good,No,406043
150,2660,3,4,2,nan,Downtown,Excellent,yes,840168
151,4597,1,nan,3,1974,suburban,Fair,yes,827794
152,1354,3,4,2,1913,Suburban,Excellent,no,66473
153,nan,5,1,3,1902,Urban,Fair,Yes,703059
154,2207,4,3,2,2014,Downtown,Poor,yes,error_value
155,3277,2,4,nan,2013,Urban,good,No,944030
156,2233,5,4,1,1961,Rural,Excellent,No,660911
157,4010,4,2,1,2005,Rural,Excellent,No,nan
158,702,3,2,1,1963,downtown,Poor,yes,275097
159,3755,5,2,1,2001,suburban,Fair,Yes,348964
160,4718,4,3,3,1944,Downtown,excellent,no,nan
161,4996,1,1,1,error_value,Downtown,Fair,No,369733
162,1266,1,1,2,1981,rural,poor,yes,771167
163,4889,nan,2,1,1957,rural,good,yes,330558
164,nan,4,nan,1,1919,Suburban,excellent,No,error_value
165,3431,1,2,1,1957,Suburban,Fair,Yes,nan
166,697,3,error_value,nan,2011,downtown,Excellent,No,634819
167,2430,4,2,nan,1988,urban,fair,No,nan
168,4082,3,4,2,1956,Downtown,Fair,yes,nan
169,1108,nan,1,1,2001,Suburban,Fair,Yes,747785
170,error_value,1,3,1,1976,Urban,Poor,yes,59387
171,1647,4,3,1,1967,Rural,Good,No,295752
172,4782,5,3,2,2018,Suburban,Excellent,No,651103
173,3897,1,3,1,1977,suburban,Good,No,601872
174,3011,1,4,2,1996,Urban,fair,No,619071
175,2294,error_value,4,2,1991,Suburban,Fair,No,745169
176,1159,4,2,1,1951,Suburban,Good,No,759687
177,nan,nan,error_value,2,1936,suburban,good,Yes,nan
178,1869,4,2,3,1907,suburban,Excellent,No,690102
179,2486,3,2,1,1943,Suburban,Fair,No,300139
180,646,1,3,1,1997,Suburban,good,No,nan
181,3719,2,4,2,nan,Suburban,Poor,No,550228
182,error_value,5,4,2,nan,Suburban,Fair,Yes,716217
183,2234,1,2,error_value,2017,Rural,Fair,No,747621
184,2343,4,2,3,1968,suburban,Excellent,Yes,910020
185,nan,5,1,2,nan,rural,Poor,Yes,984499
186,error_value,2,1,2,1944,Rural,excellent,no,296509
187,2459,2,2,3,1908,downtown,Poor,No,63580
188,2885,3,1,3,2005,Downtown,excellent,Yes,592528
189,3419,5,1,1,1931,rural,Poor,yes,828639
190,2302,nan,2,nan,1932,Rural,Poor,No,395590
191,4561,1,2,1,1966,Suburban,poor,Yes,518968
192,3869,5,nan,3,1929,Downtown,good,No,940965
193,762,1,2,2,2013,Urban,Fair,no,828559
194,1123,3,2,1,1975,Downtown,Poor,yes,533663
195,1516,5,3,error_value,1928,Rural,Good,No,nan
196,4143,3,4,1,1902,Rural,good,No,655262
197,2549,5,4,3,1989,suburban,Excellent,No,647689
198,4223,3,4,2,1956,suburban,Fair,Yes,263165
199,3608,2,3,1,1929,Downtown,Fair,Yes,455427
200,4590,3,2,1,1908,Suburban,Excellent,Yes,502201
201,2556,2,error_value,1,1925,Urban,fair,No,214340
202,3670,3,4,1,error_value,urban,Excellent,Yes,840078
203,2182,nan,1,2,1961,Suburban,Good,Yes,760731
204,2755,nan,4,3,1902,urban,Good,yes,822411
205,nan,5,2,2,nan,Urban,Poor,No,354960
206,4999,4,2,nan,1967,Downtown,Excellent,No,139460
207,3691,nan,error_value,2,1924,urban,good,Yes,356256
208,2196,5,4,1,1950,rural,good,yes,nan
209,4491,error_value,nan,3,1912,Rural,excellent,Yes,780806
210,2148,5,4,nan,2002,Downtown,Good,No,182850
211,1945,4,error_value,3,1943,suburban,Fair,Yes,882184
212,4699,nan,4,1,1934,Downtown,good,No,528193
213,4423,4,2,2,1954,Suburban,excellent,No,907158
214,753,error_value,2,error_value,1986,suburban,fair,no,786200
215,3683,3,3,1,1908,suburban,Fair,yes,994793
216,3057,1,3,1,1901,Suburban,Good,Yes,error_value
217,598,1,4,2,1960,Suburban,Poor,no,316891
218,2700,4,1,3,2017,Downtown,Fair,No,nan
219,3461,1,3,1,1940,Suburban,Excellent,No,nan
220,4933,4,3,2,1943,Urban,Poor,No,829685
221,4277,4,4,3,1963,urban,Poor,yes,961508
222,nan,nan,4,2,1930,Suburban,Fair,Yes,728797
223,3734,1,3,2,2007,Urban,Good,no,724945
224,4291,4,1,nan,1946,rural,poor,No,190926
225,1456,1,3,1,1901,Downtown,Good,No,nan
226,4567,nan,4,nan,nan,Downtown,Fair,Yes,893382
227,660,5,4,2,error_value,suburban,Excellent,No,nan
228,4993,4,3,1,1976,Suburban,poor,yes,801588
229,1800,error_value,1,2,2009,Rural,Excellent,no,726708
230,error_value,4,3,error_value,1968,suburban,good,Yes,215368
231,2027,3,3,1,1957,Urban,Good,Yes,nan
232,1718,4,nan,nan,2005,rural,Excellent,No,69455
233,4996,2,1,3,nan,urban,Fair,Yes,784184
234,3604,2,2,3,nan,Downtown,Fair,yes,515139
235,3235,1,1,2,1955,Urban,Poor,yes,281897
236,1454,5,3,2,1942,Downtown,Poor,Yes,482509
237,error_value,4,3,nan,1988,urban,Fair,No,542646
238,1545,1,3,1,1933,Downtown,Fair,No,662840
239,2193,5,1,2,2000,Suburban,Excellent,No,882548
240,3936,4,4,1,1929,Urban,Good,No,432605
241,1062,3,nan,1,1970,Downtown,good,No,614772
242,2985,nan,3,error_value,1969,urban,Poor,Yes,997719
243,3854,2,1,3,error_value,Rural,Fair,yes,393782
244,725,2,error_value,error_value,1954,suburban,Excellent,Yes,708764
245,1459,3,2,1,1966,Downtown,Poor,Yes,218332
246,3567,1,4,nan,1912,Rural,Excellent,No,150647
247,nan,5,4,1,1902,urban,fair,No,639930
248,3620,4,3,2,1925,Rural,fair,Yes,786091
249,516,2,1,1,1956,Urban,Fair,No,882441
250,1743,1,nan,error_value,1923,suburban,Good,Yes,178824
251,nan,3,4,3,1952,rural,fair,Yes,823202
252,3024,nan,1,error_value,error_value,Suburban,Poor,No,866037
253,nan,error_value,1,1,1942,Downtown,Good,No,685167
254,error_value,4,nan,3,1959,Urban,Excellent,No,nan
255,3065,5,2,1,1957,urban,Poor,no,317724
256,1560,2,2,3,1948,Suburban,Poor,No,951334
257,2827,2,1,nan,1941,Suburban,excellent,no,317544
258,3920,4,3,3,1975,Downtown,Good,no,745003
259,801,1,2,2,2012,rural,Poor,Yes,801545
260,4776,5,3,error_value,1999,urban,Poor,No,932464
261,1106,2,2,1,1965,urban,Poor,Yes,177319
262,3670,5,2,2,1910,downtown,Good,Yes,562193
263,1199,nan,3,1,2002,downtown,Good,No,529389
264,1639,5,4,nan,1997,Suburban,Good,Yes,156960
265,690,3,2,1,1989,Suburban,poor,No,89015
266,2800,nan,2,3,1917,Rural,fair,Yes,383857
267,1480,5,3,1,1984,Downtown,excellent,Yes,nan
268,3475,1,4,3,1999,Rural,Fair,Yes,982478
269,nan,3,2,3,2003,downtown,Good,no,nan
270,3827,3,nan,2,1951,Urban,poor,yes,527508
271,nan,1,4,1,1945,downtown,poor,Yes,error_value
272,627,5,2,2,1943,Downtown,Fair,Yes,983671
273,2565,4,4,1,1921,urban,Fair,No,nan
274,2316,1,4,3,1952,downtown,Excellent,Yes,271775
275,1069,5,nan,3,1958,Rural,Poor,no,355292
276,2395,1,1,1,1993,Suburban,fair,yes,777513
277,3233,error_value,nan,1,2013,Suburban,Excellent,Yes,726894
278,4363,2,3,2,2006,rural,Good,Yes,796355
279,4514,5,1,1,2023,Urban,fair,No,959222
280,3401,4,nan,nan,1929,Downtown,Good,yes,922510
281,2186,2,1,1,1907,Rural,Excellent,yes,106879
282,3509,nan,4,2,1997,Suburban,Good,Yes,169894
283,654,nan,error_value,1,1956,suburban,Poor,yes,640127
284,3037,1,4,3,2010,rural,poor,No,79756
285,1909,5,4,2,nan,Suburban,Good,Yes,718043
286,4557,5,4,2,nan,rural,poor,Yes,230557
287,1284,2,error_value,nan,1919,Suburban,Excellent,yes,279303
288,3675,4,4,3,2003,Rural,Poor,Yes,454241
289,4841,2,nan,3,1924,Downtown,Good,No,724075
290,error_value,3,2,1,1918,Downtown,Good,Yes,541599
291,1037,1,4,3,1904,Downtown,good,Yes,545283
292,2341,1,4,1,1974,downtown,fair,No,667231
293,2955,nan,nan,2,1978,Suburban,Good,Yes,792476
294,nan,2,2,2,1971,Urban,Excellent,yes,198188
295,3450,2,4,3,1982,rural,poor,Yes,nan
296,4631,1,4,1,nan,Urban,poor,No,nan
297,4615,nan,2,3,1926,Suburban,Fair,yes,530795
298,2868,5,3,nan,1939,Suburban,Fair,No,690360
299,4347,5,4,1,1995,Urban,Excellent,No,445340
300,nan,2,nan,nan,1925,Urban,good,No,286028
301,error_value,1,4,2,1926,Suburban,Fair,No,743411
302,1471,2,1,nan,1961,Suburban,poor,No,57176
303,1666,2,1,1,1982,Rural,Fair,no,927742
304,3274,2,4,error_value,1949,downtown,Fair,no,826653
305,2482,3,4,2,1941,Downtown,Good,Yes,508034
306,nan,5,1,1,1928,Rural,Fair,Yes,563611
307,4646,4,2,1,1938,Urban,Excellent,No,199748
308,4236,4,2,2,error_value,suburban,Poor,No,95177
309,4269,3,4,3,1940,Urban,Good,no,533512
310,1074,2,3,nan,1932,Downtown,Poor,No,160623
311,3761,3,2,3,1982,Downtown,Excellent,no,575285
312,1648,3,4,nan,nan,Urban,Excellent,no,502546
313,2215,1,2,3,1982,Downtown,Fair,Yes,546184
314,4354,5,3,2,1996,Suburban,Fair,yes,694467
315,2991,4,4,3,2010,Rural,fair,No,297439
316,error_value,2,3,nan,1915,Urban,Poor,no,694691
317,3624,4,4,3,1922,Suburban,excellent,no,978735
318,3551,4,3,error_value,1906,Suburban,Good,Yes,145287
319,504,5,2,error_value,1925,Downtown,fair,no,nan
320,1376,4,2,3,1995,Suburban,poor,Yes,830751
321,1491,4,3,2,1911,Urban,Fair,Yes,171509
322,4642,nan,3,3,1971,Suburban,Excellent,Yes,397591
323,error_value,5,3,3,1904,rural,Good,No,945954
324,4965,1,4,2,error_value,Suburban,Excellent,no,499181
325,1135,2,2,3,1991,suburban,Poor,Yes,nan
326,2193,4,4,2,2016,rural,Fair,yes,822793
327,2182,2,2,1,1968,suburban,Excellent,Yes,nan
328,619,1,1,error_value,1948,Suburban,poor,yes,929125
329,1330,2,4,1,1925,Downtown,Fair,no,406459
330,nan,error_value,2,3,1904,Urban,Good,Yes,538720
331,1869,3,2,3,1921,downtown,excellent,no,863819
332,1240,4,4,3,error_value,urban,Fair,Yes,54090
333,nan,error_value,4,2,1912,rural,Fair,no,957278
334,3338,2,2,1,1927,rural,Fair,Yes,468161
335,1650,4,4,error_value,1932,Rural,fair,No,876671
336,2431,3,3,2,nan,Urban,Excellent,No,53743
337,error_value,4,nan,3,1922,Urban,Fair,no,80924
338,2164,1,error_value,2,nan,urban,Poor,Yes,191268
339,1581,3,4,3,2006,Rural,excellent,No,966592
340,1012,2,2,1,1917,Urban,fair,Yes,928247
341,3349,3,3,1,2013,suburban,Excellent,No,nan
342,1059,3,1,3,2016,downtown,Poor,no,381004
343,4172,5,1,2,1929,rural,poor,Yes,790537
344,3843,3,nan,3,nan,downtown,excellent,No,798378
345,4570,3,3,2,1915,Suburban,Fair,no,279602
346,1970,4,3,3,1976,Urban,Fair,Yes,392543
347,error_value,error_value,2,nan,1938,downtown,Poor,No,885227
348,2794,4,1,1,error_value,Suburban,Fair,No,887985
349,3647,4,nan,3,1925,suburban,Poor,No,558928
350,4749,1,2,nan,1947,downtown,Fair,No,153976
351,2179,4,1,1,1964,Rural,Poor,yes,205183
352,4006,error_value,4,3,2012,Downtown,Good,No,687854
353,3244,5,2,3,1937,Rural,Fair,No,307443
354,3856,error_value,1,2,1901,urban,Fair,No,694256
355,error_value,2,2,2,2012,Rural,fair,No,111600
356,1743,2,error_value,nan,error_value,Urban,Excellent,no,error_value
357,3618,4,1,2,1945,Downtown,fair,No,708559
358,2641,nan,4,2,1949,urban,Excellent,No,887329
359,3559,nan,2,3,error_value,Suburban,excellent,No,nan
360,3459,2,nan,2,2005,Urban,poor,Yes,173323
361,2765,3,4,error_value,1987,Rural,Excellent,Yes,236110
362,2979,5,4,2,1917,rural,Excellent,yes,694566
363,2135,3,1,1,1926,rural,Good,yes,947486
364,2257,3,3,3,nan,Urban,fair,No,320041
365,4952,2,2,1,1971,Rural,Excellent,no,638829
366,nan,3,3,2,1991,Rural,fair,Yes,156968
367,3349,nan,3,3,1973,Suburban,excellent,Yes,589180
368,3751,4,3,error_value,1916,urban,poor,Yes,975775
369,nan,1,3,3,2018,Suburban,Good,No,74815
370,2989,5,3,3,1961,Rural,Excellent,No,nan
371,2131,4,1,nan,1928,Rural,fair,Yes,476573
372,3316,nan,1,error_value,1957,Rural,poor,Yes,518304
373,1515,5,4,3,1969,Urban,fair,Yes,852699
374,1848,nan,1,3,1977,Downtown,Poor,Yes,nan
375,3587,3,4,2,1921,rural,Good,Yes,688751
376,3339,1,4,1,nan,rural,Poor,no,nan
377,835,4,2,nan,1905,Rural,Fair,Yes,514151
378,error_value,3,3,3,1925,Rural,fair,no,931779
379,4046,1,1,2,1938,urban,Excellent,Yes,240732
380,1351,nan,2,1,1911,downtown,Poor,yes,246599
381,2187,5,1,2,1998,Downtown,fair,No,244451
382,2431,5,error_value,3,nan,Downtown,excellent,yes,406686
383,4246,5,1,2,1921,rural,good,No,746631
384,2927,2,3,3,1950,Rural,fair,no,378756
385,2068,4,4,3,1922,Downtown,Excellent,Yes,188307
386,4500,4,4,2,1947,Downtown,Fair,Yes,138757
387,nan,2,nan,3,1970,Rural,Poor,No,error_value
388,3998,nan,3,3,nan,Rural,Excellent,No,934507
389,4413,3,4,nan,1949,Suburban,Poor,yes,346753
390,1566,5,3,1,1988,suburban,Good,No,939217
391,4880,1,1,1,1912,suburban,poor,Yes,304200
392,2944,3,3,1,nan,downtown,Excellent,No,597933
393,4607,1,4,nan,2004,Urban,Fair,yes,506089
394,3873,nan,2,2,1909,Rural,excellent,No,769918
395,4469,1,4,3,2016,Suburban,Poor,no,error_value
396,error_value,error_value,nan,3,1954,Urban,Poor,Yes,423587
397,1253,2,3,error_value,2022,Rural,fair,No,204473
398,2582,2,4,2,1908,urban,good,No,844203
399,3274,5,3,1,1978,downtown,Excellent,No,517667
400,3396,3,1,3,error_value,Downtown,fair,No,522650
401,4685,5,error_value,3,1901,Downtown,Fair,no,510665
402,1275,4,nan,1,nan,Suburban,fair,No,414745
403,2125,5,4,3,1912,rural,Excellent,No,535820
404,3569,1,nan,2,1997,Downtown,Excellent,Yes,445158
405,917,4,nan,3,1950,suburban,excellent,No,725748
406,614,2,1,error_value,1957,Suburban,Good,No,961656
407,1116,3,nan,1,1933,Suburban,Fair,Yes,657539
408,error_value,4,1,3,1934,suburban,Poor,No,631330
409,error_value,4,2,3,2001,Downtown,poor,no,890172
410,1325,1,3,2,1902,Suburban,Fair,yes,246945
411,2016,3,1,1,2005,Downtown,poor,No,error_value
412,nan,2,1,1,2019,Downtown,Good,No,728810
413,912,4,4,2,1958,Suburban,Good,yes,631253
414,1228,4,2,3,1969,Downtown,Excellent,Yes,322201
415,3848,1,2,1,nan,Rural,Excellent,no,798609
416,nan,5,3,1,1947,Rural,Excellent,No,845415
417,1175,2,2,3,1963,urban,excellent,Yes,nan
418,3965,3,4,3,2012,rural,Excellent,No,594283
419,3004,4,4,1,1918,Downtown,poor,yes,164587
420,3467,4,3,3,1966,Downtown,poor,yes,283076
421,nan,nan,4,1,error_value,Rural,Excellent,Yes,796988
422,1622,5,1,3,2002,Suburban,good,No,520897
423,4579,4,1,3,1972,Suburban,poor,Yes,88886
424,2071,2,4,2,2015,Downtown,Good,Yes,401169
425,2643,1,3,3,error_value,suburban,good,yes,539788
426,2187,5,2,2,1904,Urban,Fair,No,145149
427,4632,3,3,3,1966,urban,Fair,No,668308
428,error_value,nan,2,error_value,1910,Rural,Excellent,No,576961
429,3940,2,4,1,2020,Rural,good,Yes,913945
430,nan,1,4,3,1993,Suburban,Poor,No,73466
431,2826,nan,1,3,1967,downtown,Fair,No,nan
432,3414,2,2,1,1968,rural,Fair,Yes,928977
433,4452,2,3,3,1900,Urban,Good,yes,559966
434,1095,3,4,2,1990,Rural,fair,no,624694
435,1228,1,3,2,1991,Rural,fair,No,446904
436,1865,1,1,2,1962,urban,Poor,Yes,nan
437,4992,error_value,2,2,1928,Downtown,Good,No,810006
438,1198,4,2,2,1981,Rural,Fair,Yes,nan
439,895,3,4,3,1911,Rural,Good,Yes,587953
440,4671,3,2,3,1976,rural,Fair,No,594929
441,4860,3,4,2,1940,Suburban,Poor,No,475716
442,3002,1,1,3,1901,rural,Good,no,610085
443,nan,4,nan,3,error_value,Urban,fair,No,nan
444,1217,5,4,2,1944,Downtown,Poor,Yes,358094
445,3282,error_value,3,3,1979,Downtown,Fair,No,992550
446,4077,2,4,3,1947,urban,Good,No,965986
447,643,3,nan,nan,1923,Suburban,fair,No,676627
448,3640,4,1,2,1998,urban,Good,yes,687719
449,4991,nan,2,nan,error_value,downtown,good,no,282275
450,3438,4,2,1,1999,Urban,Fair,No,452854
451,4136,4,4,1,1910,Suburban,Poor,Yes,857605
452,3722,1,3,2,2018,Downtown,Excellent,Yes,718582
453,1667,3,2,1,1957,Suburban,Poor,Yes,231136
454,3116,nan,3,2,1945,Urban,Poor,Yes,218082
455,1562,2,4,1,1928,Rural,Fair,Yes,303301
456,2656,1,3,1,1934,Urban,poor,no,592383
457,nan,5,nan,1,2011,Suburban,Poor,Yes,173554
458,3794,nan,1,2,2017,urban,excellent,Yes,444655
459,error_value,1,3,2,1914,Rural,Poor,yes,962046
460,1232,5,3,nan,1959,Suburban,Excellent,yes,nan
461,4830,5,1,nan,nan,Urban,Fair,Yes,528766
462,1453,4,3,1,1941,Suburban,Excellent,yes,972879
463,3039,4,1,1,2004,suburban,good,yes,663311
464,3824,4,2,error_value,1942,downtown,good,yes,681469
465,3801,nan,4,nan,1979,Downtown,Excellent,No,272310
466,2042,error_value,1,nan,1973,Suburban,Good,No,857032
467,1691,nan,3,3,1948,Urban,Fair,no,838898
468,3493,4,1,1,1963,Urban,good,Yes,830637
469,3181,nan,3,3,1931,urban,Excellent,yes,549344
470,1717,2,2,3,nan,Rural,fair,Yes,750457
471,2040,nan,1,1,nan,Suburban,Good,no,946366
472,3736,1,2,1,1901,Suburban,Fair,Yes,627564
473,2886,3,4,2,1923,rural,excellent,Yes,493333
474,4219,3,3,2,1986,suburban,Good,Yes,490187
475,1888,3,3,3,1965,Suburban,Fair,No,319072
476,2356,nan,2,2,1937,Rural,Fair,No,891741
477,1865,2,4,2,1930,downtown,Good,yes,255719
478,nan,4,nan,1,nan,Suburban,Fair,no,746248
479,error_value,error_value,1,1,2003,Rural,Fair,yes,800385
480,1010,3,nan,2,1925,urban,Excellent,Yes,nan
481,4812,3,error_value,1,1928,Downtown,Excellent,no,166196
482,1824,3,2,2,1966,Urban,Excellent,no,error_value
483,nan,4,1,1,2021,Suburban,excellent,No,476855
484,2327,1,4,1,1977,Downtown,Excellent,No,783478
485,3641,1,4,1,1924,Rural,Excellent,Yes,503814
486,3986,error_value,1,1,1947,Suburban,Good,Yes,687475
487,2310,1,1,2,1964,Rural,Excellent,no,946881
488,3423,3,2,3,1952,Downtown,Fair,No,601972
